incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Accident,2,"Street 246, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,1
Fire,2,"Street 372, near the Forest",Small kitchen fire,Chemical smell,9 people evacuated,0,0,0,1,5
Other,3,"Street 257, near the Forest",General emergency reported,Unknown,Multiple bystanders,10,0,1,1,1
Crime,3,"Street 268, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,19,1,4,1,1
Fire,2,"Street 4, near the Forest",Small kitchen fire,Thick smoke,5 people evacuated,5,1,0,1,5
Other,1,"Street 113, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,1,0,0,0
Medical,2,"Street 103, near the Residential Area",Unconscious person,None,1 person involved,22,0,0,3,1
Medical,4,"Street 101, near the City Center",Unconscious person,None,1 person involved,10,0,1,4,2
Other,3,"Street 339, near the Highway",General emergency reported,Unknown,Multiple bystanders,20,1,1,1,1
Accident,2,"Street 27, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,0,0,1,2,1
Crime,1,"Street 270, near the Residential Area",Break-in,Weapons sighted,Suspect and 2 witnesses,2,1,3,0,0
Accident,1,"Street 388, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,0,1,2,0
Medical,1,"Street 120, near the Industrial Zone",Unconscious person,None,1 person involved,21,0,0,2,0
Fire,5,"Street 115, near the Residential Area",Small kitchen fire,Thick smoke,5 people evacuated,10,1,2,2,7
Crime,4,"Street 328, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,18,0,4,2,2
Accident,5,"Street 278, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,3,4,3
Accident,2,"Street 220, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,0,1,2,1
Crime,4,"Street 290, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,1,1,4,2,2
Medical,1,"Street 162, near the Forest",Cardiac arrest,None,1 person involved,0,1,0,2,0
Accident,3,"Street 330, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,1,2,3,1
Accident,3,"Street 70, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,0,2,3,1
Crime,5,"Street 186, near the Highway",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,18,0,5,2,3
Fire,1,"Street 137, near the City Center",Building engulfed,Explosion risk,7 people evacuated,20,0,0,0,4
Other,4,"Street 38, near the Highway",General emergency reported,Unknown,Multiple bystanders,19,1,1,2,2
Fire,1,"Street 353, near the Forest",Small kitchen fire,Explosion risk,3 people evacuated,10,0,0,0,4
Other,5,"Street 297, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,0,2,2,3
Accident,2,"Street 491, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,1,2,1
Accident,3,"Street 263, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,0,2,3,1
Other,5,"Street 316, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,7,1,2,2,3
Accident,2,"Street 462, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,5,1,1,2,1
Other,3,"Street 113, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,0,1,1,1
Fire,4,"Street 45, near the Industrial Zone",Spreading to trees,Chemical smell,6 people evacuated,14,0,1,2,6
Other,1,"Street 76, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,1,0,0,0
Crime,1,"Street 488, near the Highway",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,14,0,3,0,0
Medical,3,"Street 192, near the Residential Area",Allergic reaction,None,1 person involved,16,0,1,3,1
Crime,1,"Street 353, near the Forest",Armed robbery in progress,None,Suspect and 2 witnesses,5,1,3,0,0
Medical,5,"Street 244, near the Residential Area",Allergic reaction,None,1 person involved,0,1,2,4,3
Other,3,"Street 159, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,1,1,1
Medical,1,"Street 125, near the Residential Area",Unconscious person,None,1 person involved,8,1,0,2,0
Accident,2,"Street 419, near the Highway",General emergency reported,Unknown,Multiple bystanders,2,0,1,2,1
Fire,4,"Street 54, near the Highway",Small kitchen fire,Thick smoke,4 people evacuated,21,0,1,2,6
Accident,1,"Street 380, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,1,1,2,0
Accident,2,"Street 430, near the Forest",General emergency reported,Unknown,Multiple bystanders,11,1,1,2,1
Other,4,"Street 497, near the Forest",General emergency reported,Unknown,Multiple bystanders,22,1,1,2,2
Other,5,"Street 222, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,0,2,2,3
Other,2,"Street 125, near the Highway",General emergency reported,Unknown,Multiple bystanders,2,1,0,1,1
Accident,3,"Street 494, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,1,2,3,1
Other,2,"Street 200, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,0,1,1
Other,1,"Street 15, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,0,0,0,0
Crime,4,"Street 184, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,13,1,4,2,2
Fire,2,"Street 433, near the Industrial Zone",Spreading to trees,Thick smoke,3 people evacuated,8,1,0,1,5
Fire,3,"Street 293, near the Forest",Spreading to trees,Thick smoke,9 people evacuated,17,0,1,1,5
Crime,2,"Street 403, near the Highway",Public disturbance,None,Suspect and 2 witnesses,6,0,3,1,1
Fire,1,"Street 322, near the Forest",Small kitchen fire,Chemical smell,9 people evacuated,7,0,0,0,4
Accident,3,"Street 347, near the City Center",General emergency reported,Unknown,Multiple bystanders,8,0,2,3,1
Other,5,"Street 351, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,9,0,2,2,3
Crime,1,"Street 39, near the Highway",Public disturbance,None,Suspect and 2 witnesses,4,1,3,0,0
Medical,2,"Street 103, near the City Center",Cardiac arrest,None,1 person involved,23,0,0,3,1
Crime,5,"Street 15, near the Highway",Break-in,Aggressive behavior,Suspect and 1 witnesses,8,0,5,2,3
Other,2,"Street 3, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,1,0,1,1
Medical,3,"Street 490, near the Forest",Unconscious person,None,1 person involved,14,1,1,3,1
Accident,5,"Street 367, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,1,3,4,3
Other,4,"Street 49, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,1,1,2,2
Accident,1,"Street 226, near the Forest",General emergency reported,Unknown,Multiple bystanders,14,0,1,2,0
Other,4,"Street 261, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,2
Fire,2,"Street 309, near the Industrial Zone",Spreading to trees,Thick smoke,9 people evacuated,19,0,0,1,5
Medical,5,"Street 388, near the Forest",Allergic reaction,None,1 person involved,0,0,2,4,3
Crime,2,"Street 329, near the Forest",Break-in,Weapons sighted,Suspect and 2 witnesses,23,0,3,1,1
Fire,2,"Street 202, near the City Center",Spreading to trees,Chemical smell,9 people evacuated,6,0,0,1,5
Fire,2,"Street 403, near the Residential Area",Small kitchen fire,Chemical smell,1 people evacuated,13,1,0,1,5
Accident,1,"Street 319, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,0,1,2,0
Medical,3,"Street 57, near the Forest",Cardiac arrest,None,1 person involved,1,1,1,3,1
Other,1,"Street 179, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,0,0,0,0
Crime,5,"Street 70, near the Highway",Break-in,None,Suspect and 1 witnesses,16,1,5,2,3
Crime,1,"Street 68, near the City Center",Break-in,None,Suspect and 1 witnesses,5,1,3,0,0
Other,3,"Street 415, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,1,1,1
Medical,2,"Street 497, near the Forest",Allergic reaction,None,1 person involved,21,0,0,3,1
Accident,3,"Street 96, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,0,0,2,3,1
Other,3,"Street 87, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,0,1,1,1
Other,2,"Street 425, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,0,0,1,1
Fire,2,"Street 428, near the Residential Area",Spreading to trees,Chemical smell,5 people evacuated,1,1,0,1,5
Accident,4,"Street 127, near the Highway",General emergency reported,Unknown,Multiple bystanders,0,1,2,3,2
Crime,1,"Street 443, near the Industrial Zone",Public disturbance,None,Suspect and 2 witnesses,13,0,3,0,0
Fire,3,"Street 412, near the Forest",Spreading to trees,Explosion risk,3 people evacuated,10,0,1,1,5
Crime,3,"Street 107, near the Forest",Public disturbance,Weapons sighted,Suspect and 1 witnesses,22,0,4,1,1
Crime,5,"Street 426, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,4,0,5,2,3
Crime,2,"Street 356, near the Residential Area",Break-in,None,Suspect and 1 witnesses,2,1,3,1,1
Accident,2,"Street 241, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,11,0,1,2,1
Other,4,"Street 342, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,0,1,2,2
Crime,4,"Street 379, near the Highway",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,10,1,4,2,2
Fire,3,"Street 206, near the Residential Area",Spreading to trees,Thick smoke,6 people evacuated,20,1,1,1,5
Accident,2,"Street 67, near the City Center",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,1
Accident,3,"Street 370, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,1,2,3,1
Crime,3,"Street 44, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 1 witnesses,23,0,4,1,1
Fire,2,"Street 7, near the City Center",Building engulfed,Thick smoke,3 people evacuated,11,0,0,1,5
Medical,2,"Street 149, near the Industrial Zone",Unconscious person,None,1 person involved,10,1,0,3,1
Medical,1,"Street 23, near the Highway",Cardiac arrest,None,1 person involved,4,1,0,2,0
Medical,1,"Street 400, near the City Center",Allergic reaction,None,1 person involved,15,1,0,2,0
Accident,3,"Street 180, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,5,0,2,3,1
Accident,1,"Street 136, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,6,0,1,2,0
Fire,3,"Street 333, near the City Center",Small kitchen fire,Thick smoke,8 people evacuated,10,1,1,1,5
Fire,1,"Street 286, near the City Center",Small kitchen fire,Explosion risk,4 people evacuated,0,0,0,0,4
Crime,2,"Street 471, near the Highway",Public disturbance,Weapons sighted,Suspect and 2 witnesses,10,0,3,1,1
Other,2,"Street 469, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,3,1,0,1,1
Accident,3,"Street 14, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,23,1,2,3,1
Other,2,"Street 255, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,5,0,0,1,1
Crime,4,"Street 287, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,2,1,4,2,2
Accident,1,"Street 436, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,0
Accident,2,"Street 239, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,0,1,2,1
Fire,1,"Street 170, near the Forest",Building engulfed,Thick smoke,4 people evacuated,22,0,0,0,4
Crime,4,"Street 132, near the Residential Area",Break-in,Aggressive behavior,Suspect and 2 witnesses,7,1,4,2,2
Other,3,"Street 476, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,1,1,1,1
Medical,4,"Street 270, near the Highway",Allergic reaction,None,1 person involved,21,1,1,4,2
Crime,2,"Street 291, near the Forest",Break-in,Aggressive behavior,Suspect and 2 witnesses,13,0,3,1,1
Crime,2,"Street 205, near the Industrial Zone",Break-in,None,Suspect and 1 witnesses,18,0,3,1,1
Other,2,"Street 63, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,0,0,1,1
Medical,1,"Street 384, near the Forest",Cardiac arrest,None,1 person involved,19,0,0,2,0
Medical,1,"Street 108, near the City Center",Unconscious person,None,1 person involved,18,0,0,2,0
Accident,3,"Street 49, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,0,2,3,1
Accident,3,"Street 221, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,9,0,2,3,1
Fire,4,"Street 196, near the City Center",Small kitchen fire,Explosion risk,3 people evacuated,22,1,1,2,6
Accident,4,"Street 323, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,23,0,2,3,2
Accident,4,"Street 385, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,17,1,2,3,2
Fire,2,"Street 429, near the Forest",Spreading to trees,Thick smoke,4 people evacuated,14,0,0,1,5
Crime,2,"Street 480, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,13,1,3,1,1
Medical,3,"Street 452, near the Highway",Unconscious person,None,1 person involved,8,1,1,3,1
Other,1,"Street 232, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,0,0,0,0
Accident,3,"Street 217, near the Highway",General emergency reported,Unknown,Multiple bystanders,19,0,2,3,1
Medical,2,"Street 188, near the Residential Area",Allergic reaction,None,1 person involved,0,1,0,3,1
Accident,4,"Street 107, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,1,2,3,2
Accident,1,"Street 153, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,13,0,1,2,0
Crime,3,"Street 164, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,17,1,4,1,1
Fire,4,"Street 230, near the Forest",Small kitchen fire,Thick smoke,3 people evacuated,5,1,1,2,6
Crime,2,"Street 93, near the Highway",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,5,1,3,1,1
Fire,3,"Street 334, near the Residential Area",Spreading to trees,Explosion risk,1 people evacuated,3,0,1,1,5
Crime,2,"Street 6, near the City Center",Break-in,Aggressive behavior,Suspect and 2 witnesses,5,0,3,1,1
Fire,3,"Street 189, near the Residential Area",Small kitchen fire,Chemical smell,4 people evacuated,17,0,1,1,5
Other,4,"Street 105, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,2
Accident,4,"Street 350, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,0,2,3,2
Accident,1,"Street 45, near the City Center",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,0
Other,1,"Street 105, near the City Center",General emergency reported,Unknown,Multiple bystanders,1,1,0,0,0
Medical,1,"Street 278, near the Highway",Cardiac arrest,None,1 person involved,1,1,0,2,0
Medical,4,"Street 364, near the Industrial Zone",Allergic reaction,None,1 person involved,9,1,1,4,2
Medical,5,"Street 148, near the Highway",Unconscious person,None,1 person involved,3,1,2,4,3
Medical,2,"Street 291, near the Industrial Zone",Allergic reaction,None,1 person involved,14,0,0,3,1
Crime,5,"Street 166, near the City Center",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,6,1,5,2,3
Accident,4,"Street 304, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,1,2,3,2
Crime,5,"Street 56, near the City Center",Public disturbance,Weapons sighted,Suspect and 1 witnesses,23,1,5,2,3
Fire,3,"Street 392, near the Highway",Building engulfed,Thick smoke,3 people evacuated,5,1,1,1,5
Accident,1,"Street 254, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,0
Other,3,"Street 3, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,14,0,1,1,1
